Id. de problema,Descripción,Estado,Gravedad,Puntos de la historia,Ruta de acceso del proyecto,Tipo de ubicación,Ruta de acceso,Línea,Columna,Id. de incidente,Vínculo de ayuda,Nombre del ensamblado,Versión de ensamblado,Clave pública de ensamblado,Fragmento
Api.0003,Cambio de comportamiento en la versión de .NET seleccionada,Active,Potential,1,FabricaHilos\FabricaHilos.csproj,File,FabricaHilos\Program.cs,304,4,M:System.Uri.#ctor(System.String),,,,,"client.BaseAddress = new Uri(          builder.Configuration[""DocumentExtractor:BaseUrl""] ?? ""https://localhost:7200/"");"
Api.0003,Cambio de comportamiento en la versión de .NET seleccionada,Active,Potential,1,FabricaHilos\FabricaHilos.csproj,File,FabricaHilos\Program.cs,304,4,T:System.Uri,,,,,"client.BaseAddress = new Uri(          builder.Configuration[""DocumentExtractor:BaseUrl""] ?? ""https://localhost:7200/"");"
Api.0002,El origen no es compatible con la versión de .NET seleccionada,Active,Potential,1,FabricaHilos\FabricaHilos.csproj,File,FabricaHilos\Program.cs,288,4,M:System.TimeSpan.FromMinutes(System.Double),,,,,client.Timeout = TimeSpan.FromMinutes(3);
Api.0003,Cambio de comportamiento en la versión de .NET seleccionada,Active,Potential,1,FabricaHilos\FabricaHilos.csproj,File,FabricaHilos\Program.cs,286,0,"M:Microsoft.Extensions.DependencyInjection.HttpClientFactoryServiceCollectionExtensions.AddHttpClient(Microsoft.Extensions.DependencyInjection.IServiceCollection,System.String,System.Action{System.Net.Http.HttpClient})",,,,,"builder.Services.AddHttpClient(""sunat-ssco"", client =>  {      client.Timeout = TimeSpan.FromMinutes(3);      client.DefaultRequestHeaders.UserAgent.ParseAdd(          ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0 Safari/537.36"");  });"
Api.0003,Cambio de comportamiento en la versión de .NET seleccionada,Active,Potential,1,FabricaHilos\FabricaHilos.csproj,File,FabricaHilos\Program.cs,284,0,"M:Microsoft.Extensions.DependencyInjection.HttpClientFactoryServiceCollectionExtensions.AddHttpClient(Microsoft.Extensions.DependencyInjection.IServiceCollection,System.String)",,,,,"builder.Services.AddHttpClient(""sunat-validez"");"
Api.0002,El origen no es compatible con la versión de .NET seleccionada,Active,Potential,1,FabricaHilos\FabricaHilos.csproj,File,FabricaHilos\Program.cs,268,4,M:System.TimeSpan.FromMinutes(System.Double),,,,,"builder.Services.AddHttpClient<ITusUploadService, TusUploadService>()          .ConfigureHttpClient(c => c.Timeout = TimeSpan.FromMinutes(5));"
Api.0002,El origen no es compatible con la versión de .NET seleccionada,Active,Potential,1,FabricaHilos\FabricaHilos.csproj,File,FabricaHilos\Program.cs,266,4,M:System.TimeSpan.FromMinutes(System.Double),,,,,"builder.Services.AddHttpClient<ISireComprasService, SireComprasService>()          .ConfigureHttpClient(c => c.Timeout = TimeSpan.FromMinutes(5));"
Api.0002,El origen no es compatible con la versión de .NET seleccionada,Active,Potential,1,FabricaHilos\FabricaHilos.csproj,File,FabricaHilos\Program.cs,264,4,M:System.TimeSpan.FromMinutes(System.Double),,,,,"builder.Services.AddHttpClient<ISireVentasService, SireVentasService>()          .ConfigureHttpClient(c => c.Timeout = TimeSpan.FromMinutes(5));"
Api.0002,El origen no es compatible con la versión de .NET seleccionada,Active,Potential,1,FabricaHilos\FabricaHilos.csproj,File,FabricaHilos\Program.cs,262,4,M:System.TimeSpan.FromMinutes(System.Double),,,,,"builder.Services.AddHttpClient<ISireAuthService, SireAuthService>()          .ConfigureHttpClient(c => c.Timeout = TimeSpan.FromMinutes(5));"
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,FabricaHilos\FabricaHilos.csproj,File,FabricaHilos\Program.cs,250,0,"M:Microsoft.Extensions.DependencyInjection.OptionsConfigurationServiceCollectionExtensions.Configure``1(Microsoft.Extensions.DependencyInjection.IServiceCollection,Microsoft.Extensions.Configuration.IConfiguration)",,,,,"builder.Services.Configure<FabricaHilos.Services.Sire.SireReporteComprasOptions>(      builder.Configuration.GetSection(""SireReporteCompras""));"
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,FabricaHilos\FabricaHilos.csproj,File,FabricaHilos\Program.cs,249,0,"M:Microsoft.Extensions.DependencyInjection.OptionsConfigurationServiceCollectionExtensions.Configure``1(Microsoft.Extensions.DependencyInjection.IServiceCollection,Microsoft.Extensions.Configuration.IConfiguration)",,,,,"builder.Services.Configure<SireOptions>(builder.Configuration.GetSection(""Sire""));"
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,FabricaHilos\FabricaHilos.csproj,File,FabricaHilos\Program.cs,248,0,M:Microsoft.Extensions.Configuration.ConfigurationBinder.Get``1(Microsoft.Extensions.Configuration.IConfiguration),,,,,"var sireOptions = builder.Configuration.GetSection(""Sire"").Get<SireOptions>() ?? new SireOptions();"
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,FabricaHilos\FabricaHilos.csproj,File,FabricaHilos\Program.cs,146,0,"M:Microsoft.Extensions.DependencyInjection.OptionsConfigurationServiceCollectionExtensions.Configure``1(Microsoft.Extensions.DependencyInjection.IServiceCollection,Microsoft.Extensions.Configuration.IConfiguration)",,,,,builder.Services.Configure<FabricaHilos.Config.RedInternaOptions>(      builder.Configuration.GetSection(FabricaHilos.Config.RedInternaOptions.SectionName));
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,FabricaHilos\FabricaHilos.csproj,File,FabricaHilos\Program.cs,141,0,"M:Microsoft.Extensions.DependencyInjection.OptionsConfigurationServiceCollectionExtensions.Configure``1(Microsoft.Extensions.DependencyInjection.IServiceCollection,Microsoft.Extensions.Configuration.IConfiguration)",,,,,builder.Services.Configure<FabricaHilos.Config.EmpresaTemaOptions>(      builder.Configuration.GetSection(FabricaHilos.Config.EmpresaTemaOptions.SectionName));
Api.0002,El origen no es compatible con la versión de .NET seleccionada,Active,Potential,1,FabricaHilos\FabricaHilos.csproj,File,FabricaHilos\Program.cs,120,4,M:System.TimeSpan.FromHours(System.Double),,,,,options.IdleTimeout         = TimeSpan.FromHours(sessionHours);
Api.0002,El origen no es compatible con la versión de .NET seleccionada,Active,Potential,1,FabricaHilos\FabricaHilos.csproj,File,FabricaHilos\Program.cs,106,4,M:System.TimeSpan.FromHours(System.Double),,,,,options.ExpireTimeSpan      = TimeSpan.FromHours(sessionHours);
Api.0002,El origen no es compatible con la versión de .NET seleccionada,Active,Potential,1,FabricaHilos\FabricaHilos.csproj,File,FabricaHilos\Program.cs,92,4,M:System.TimeSpan.FromMinutes(System.Double),,,,,options.Lockout.DefaultLockoutTimeSpan  = TimeSpan.FromMinutes(10);
